지금, 만나러 갑니다
10,내가 좋아했던 여배우인 다케우치 유코의 사망소식을 듣고 이제서야 감상평을 남기네요... 전 예전부터 일본 영화 특유의 오버스러움과 오글거림이 있어서 잘 못보는 편인데 이 영화는 제가 20살때 처음보고 항상 제 마음속에 남아있던 영화였습니다. 감상후 어린시절 생각 부모님 생각 첫사랑 생각 영화보고 난 뒤 여운이 상당히 오래가서 정말 좋은영화라고 생각했었던 몇안되는 작품이였습니다. 삼가 고인의 명복을 빕니다.
10,삼가 고인의 명복을 빕니다
10,삼가 고인의 명복을 빕니다..
10,삼가고인의명복을빕니다
6,삼가고인의명복을 빕니다 잘가시오
10,
10,언니 울고싶어요 잘 지내야해요
9,삼가 고인의 명복을 빕니다
10,삼가 고인의 명복을 빕니다
10,가지마요... 하늘에선 편히 쉬길..
8,영화처럼 돌아오시길.. 스타가 하나 사라졌네요. 밑에 죽지마요.
